Name	Type	Latitude	Longitude	City	Country	
seventh-day adventist church turriff str. glasgow	church	55.8453598022	-4.260986805	glasgow	united kingdom	
jobcentre plus	government building	55.8460998225	-4.2592024306	glasgow	united kingdom	
laurieston jc+	government building	55.8455377897	-4.2587197853	glasgow	united kingdom	
invensys rail	office	55.8454842547	-4.2576451276		united kingdom	
23 bus	moving target	55.84604	-4.25678		united kingdom	
james f kidd	building	55.8457696438	-4.2571055889	glasgow	united kingdom	
nicola and gavs pad	home (private)	55.845668789	-4.2564796512		united kingdom	
scots house	home (private)	55.845668789	-4.2564796512		united kingdom	
the pit stop		55.845586	-4.251537875	glasgow	united kingdom	
home ryan m	home (private)	55.845668789	-4.2564796512	glasgow	united kingdom	
ee	mobile phone shop	55.846005	-4.242789		united kingdom	
glasgow national hockey centre	hockey field	55.8452485427	-4.2367140578		united kingdom	
glasgow green football centre	soccer field	55.845981	-4.234161	glasgow	united kingdom	
social climbers ltd	tech startup	55.845976014	-4.2304229736	glasgow	united kingdom	
shields train depot	train	55.8466762304	-4.2857140303	glasgow	united kingdom	
alstom	residential building (apartment  condo)	55.84677876	-4.28434237	glasgow	united kingdom	
st andrews drive park	playground	55.8469667092	-4.2806163737	glasgow	united kingdom	
27 st. andrews cres	residential building (apartment  condo)	55.846454	-4.278062		united kingdom	
diarmids flat	home (private)	55.8451593289	-4.2711876793		united kingdom	
arnold clark van centre	automotive shop	55.846876	-4.268545		united kingdom	
scotland gas networks	office	55.8468293608	-4.2653523602	glasgow	united kingdom	
t.smith snack bar	food truck	55.84703	-4.265391	glasgow	united kingdom	
griphouse southside	martial arts dojo	55.8467015083	-4.2610031465	shawlands	united kingdom	
aynams grill station	indian restaurant	55.84655246	-4.259459	glasgow	united kingdom	
melbras place	home (private)	55.845668789	-4.2564796512		united kingdom	
ross electrical	miscellaneous shop	55.8463854919	-4.2563444358	glasgow	united kingdom	
new turban tandoori	indian restaurant	55.8466567162	-4.2550601456	giffnock	united kingdom	
johnnys pad	home (private)	55.845668789	-4.2564796512		united kingdom	
new gorbals park southside	park	55.8463860299	-4.2530424203	glasgow	united kingdom	
dickie heights	home (private)	55.845668789	-4.2564796512	glasgow	united kingdom	
my house	home (private)	55.845668789	-4.2564796512		united kingdom	
waterside team	home (private)	55.845668789	-4.2564796512	glasgow	united kingdom	
new gorbals	other great outdoors	55.8469397426	-4.2481899261	glasgow	united kingdom	
home sweet home	home (private)	55.8461763857	-4.2417744077		united kingdom	
tbones crib.	home (private)	55.8461763857	-4.2417744077		united kingdom	
msc on tour glasgow mansion	home (private)	55.8461763857	-4.2417744077	glasgow	united kingdom	
st francis centre	convention center	55.846495	-4.245566		united kingdom	
provan towers	home (private)	55.8461763857	-4.2417744077		united kingdom	
greggs	bakery	55.846632008	-4.2450561805		united kingdom	
flat 31 16 st. valentines terrace	home (private)	55.8461763857	-4.2417744077	glasgow	united kingdom	
francis rc primary school	school	55.846658	-4.243925	glasgow	united kingdom	
mortgage advisor glasgow	real estate office	55.8468795102	-4.2423534393	glasgow	united kingdom	
bonnie prince charlies gate	historic site	55.8470240405	-4.2363619262	glasgow	united kingdom	
city of glasgow college hall of residence	college residence hall	55.84668	-4.236623	glasgow	united kingdom	
lynseys house	home (private)	55.8461763857	-4.2417744077	glasgow	united kingdom	
dassie green (on glasgow green)	park	55.8466959573	-4.2311758731	glasgow	united kingdom	
mr snugglies	home (private)	55.8466821201	-4.2270719512	glasgow	united kingdom	
trespass	sporting goods shop	55.8479601583	-4.2857971708	glasgow	united kingdom	
sher bros	miscellaneous shop	55.8475059219	-4.2646694183	glasgow	united kingdom	
anaya glasgow	hookah bar	55.847104	-4.264461	glasgow	united kingdom	
mammys	home (private)	55.845668789	-4.2564796512	glasgow	united kingdom	
pole position	dance studio	55.847683	-4.25823	glasgow	united kingdom	
soap kitchen	arts  crafts store	55.8471463897	-4.2567557927	glasgow	united kingdom	
gorbals sounds	theater	55.8471848781	-4.2553685801		united kingdom	
whiteinch centre	building	55.847713	-4.255603		united kingdom	
19 malta terrace	home (private)	55.845668789	-4.2564796512	glasgow	united kingdom	
home sweet home	assisted living	55.847783	-4.252826	glasgow	united kingdom	
cumberland street	road	55.8475300145	-4.2512905598	glasgow	united kingdom	
home	home (private)	55.845668789	-4.2564796512		united kingdom	
abode of the bearded	home (private)	55.8461763857	-4.2417744077	glasgow	united kingdom	
gorbals rose garden	garden	55.8472529492	-4.2449712753	glasgow	united kingdom	
grazias place	home (private)	55.8461763857	-4.2417744077	glasgow	united kingdom	
reubanz		55.847841	-4.245825		united kingdom	
tonys southside palace	home (private)	55.8461763857	-4.2417744077		united kingdom	
the gorbals barbershop	salon  barbershop	55.8478793549	-4.2417097092	glasgow	united kingdom	
claire  brians	home (private)	55.8461763857	-4.2417744077		united kingdom	
head office		55.847958	-4.240036		united kingdom	
hot spot	fast food restaurant	55.8473042333	-4.23880266	glasgow	united kingdom	
kings bridge	road	55.8471422666	-4.2380514389		united kingdom	
new gaff.	home (private)	55.8466821201	-4.2270719512	glasgow	united kingdom	
crimson star	bar	55.847711	-4.231013		united kingdom	
james street	road	55.8475243984	-4.2318428746		united kingdom	
pts	hardware store	55.84800632	-4.28195215		united kingdom	
bss	office	55.848234	-4.281875	kinning park	united kingdom	
smurfit kappa		55.8485579831	-4.2795154243	glasgow	united kingdom	
ftdi chip	building	55.848446193	-4.2774635445		united kingdom	
foster wheeler	office	55.8487733367	-4.277463928	glasgow	united kingdom	
key portfolio	office	55.8481925539	-4.276599884	glasgow	united kingdom	
baxter house	office	55.848092	-4.276254		united kingdom	
hyundai	car dealership	55.8481521606	-4.2756233215	glasgow	united kingdom	
murray chrysler	automotive shop	55.8482168198	-4.2758507743		united kingdom	
june brides	bridal shop	55.8483779246	-4.2606870247		united kingdom	
commonwealth house	event space	55.8484201195	-4.2610404461	glasgow	united kingdom	
g5 9de	home (private)	55.845668789	-4.2564796512	glasgow	united kingdom	
hannah autosound	automotive shop	55.8483658366	-4.2580114827	glasgow	united kingdom	
brazen heid	bar	55.847983	-4.254533		united kingdom	
sizzlers	indian restaurant	55.8483943969	-4.2542941205		united kingdom	
mommas house	home (private)	55.845668789	-4.2564796512		united kingdom	
the co-operative food	grocery store	55.8487948527	-4.2512798309	glasgow	united kingdom	
boots	drugstore  pharmacy	55.8482648303	-4.2512369156	glasgow	united kingdom	
anns fry	fast food restaurant	55.8485855533	-4.2506972833	glasgow	united kingdom	
laurens place	home (private)	55.845668789	-4.2564796512	glasgow	united kingdom	
the flat	home (private)	55.845668789	-4.2564796512	glasgow	united kingdom	
gs fish and chips	fish  chips shop	55.8488426208	-4.2506251335	glasgow	united kingdom	
gorbals health centre	doctors office	55.8485194301	-4.2485646791	gorbals	united kingdom	
g5 deli	caf?	55.8487839171	-4.2483098188		united kingdom	
gorbals social work	conference room	55.8488166332	-4.2473745346	glasgow	united kingdom	
southbank child development centre		55.8485646344	-4.2464624392	glasgow	united kingdom	
kristuc humpy	residential building (apartment  condo)	55.848417	-4.246736	glasgow	united kingdom	
new gorbals residence	home (private)	55.8461763857	-4.2417744077	glasgow	united kingdom	
nisa extra	food  drink shop	55.8483619527	-4.2427117457		united kingdom	
bells taxi insurance	office	55.8481082314	-4.2418599129	glasgow	united kingdom	
st andrews suspension bridge	bridge	55.8487948527	-4.2384910583	glasgow	united kingdom	
university of glasgow boat house	college  university	55.8482501842	-4.2372246655	glasgow city	united kingdom	
joannes apartment	home (private)	55.8461763857	-4.2417744077	glasgow	united kingdom	
embody integrated health clinic	spa  massage	55.848760388	-4.2325601034	glasgow	united kingdom	
my house	home (private)	55.8466821201	-4.2270719512	glasgow	united kingdom	
mcphail st 36	home (private)	55.8466821201	-4.2270719512		united kingdom	
poppyscotland	non-profit	55.849216	-4.285915	kinning park	united kingdom	
m80 junction 22	road	55.8495075647	-4.2834997755		united kingdom	
headhunter studios	music venue	55.849768492	-4.2810059042	glasgow	united kingdom	
grahams	office	55.84899	-4.277976		united kingdom	
wsp glasgow office	office	55.8493423462	-4.2768712044		united kingdom	
arnold clark - hyundaichryslerjeep	automotive shop	55.8490075592	-4.2759635862	glasgow	united kingdom	
capi leroy  mchamsters drinking den		55.849721	-4.275074	glasgow	united kingdom	
scotland street school museum	museum	55.8496741922	-4.273788929	glasgow	united kingdom	
richmonds plumbing  heating merchants	furniture  home store	55.8497248487	-4.2719177416		united kingdom	
j. thomson colour print	paper  office supplies store	55.8494271078	-4.2701422509	glasgow	united kingdom	
bubbles	car wash	55.849611	-4.268754		united kingdom	
west street subway station	subway	55.8495898728	-4.2658281326	glasgow	united kingdom	
duncan yacht chandlers	hardware store	55.8496740071	-4.2667957831	glasgow	united kingdom	
first bus - 38	bus line	55.8496635422	-4.2611075649	glasgow	united kingdom	
the unit	historic site	55.8492053308	-4.2608413784	glasgow	united kingdom	
the barn	event space	55.848873	-4.257701		united kingdom	
gorbals mot	automotive shop	55.8490527016	-4.2534507787		united kingdom	
bus stop 60902508	bus line	55.849697113	-4.2540230751		united kingdom	
number 20 bus	bus line	55.8495845832	-4.2539260816	rutherglen	united kingdom	
first glasgow - larkfield depot	bus station	55.8493664177	-4.2516862554		united kingdom	
gorbals library and real learning centre	college library	55.849132136	-4.2508077621	glasgow	united kingdom	
gorbals post office	post office	55.8497585114	-4.2496490479	gorbals	united kingdom	
gorbals convienence store	convenience store	55.849344	-4.250258	glasgow	united kingdom	
smelly boys flat	home (private)	55.8461763857	-4.2417744077		united kingdom	
gorbals recycles - bicycle worksop		55.8490866981	-4.2440915108	glasgow	united kingdom	
tatees place	home (private)	55.8461763857	-4.2417744077		united kingdom	
	vineyard	55.8495086	-4.2419356		united kingdom	
glasgow green play centre	playground	55.8493097301	-4.2338347373		united kingdom	
verde building	building	55.8495166789	-4.2330639312	glasgow	united kingdom	
fortress of solitude - glasgow branch	home (private)	55.8466821201	-4.2270719512		united kingdom	
arcadia street	road	55.8497294258	-4.2317489356	glasgow	united kingdom	
arcadia home	home (private)	55.8466821201	-4.2270719512	glasgow	united kingdom	
kathryns	home (private)	55.8466821201	-4.2270719512	glasgow	united kingdom	
7 silvergrove street	home (private)	55.8466821201	-4.2270719512		united kingdom	
lambhill quadrant	coworking space	55.850567991	-4.2853064678		united kingdom	
scotland street west	road	55.8501078317	-4.2838096619	glasgow	united kingdom	
wlr associates	office	55.850124	-4.283822		united kingdom	
the climbing academy	gym  fitness center	55.8503787826	-4.2815857651	glasgow	united kingdom	
shields road subway station	subway	55.8498066937	-4.2757415771	glasgow	united kingdom	
the fish people cafe	seafood restaurant	55.849858	-4.275091	glasgow	united kingdom	
the fish people	fish market	55.8498289958	-4.2751927767	glasgow	united kingdom	
subway	sandwich place	55.84992	-4.27538	glasgow	united kingdom	
spt shield rd park  ride	parking	55.8498817226	-4.274837507	glasgow	united kingdom	
work	coworking space	55.850468	-4.268553	glasgow	united kingdom	
m74 junction 1	road	55.8506275754	-4.2677073739		united kingdom	
pikes palace of ginger love	home (private)	55.8451593289	-4.2711876793		united kingdom	
the local	pub	55.8506220939	-4.2622097679		united kingdom	
club noir	other nightlife	55.849899388	-4.2602882323	glasgow	united kingdom	
paul and colins gaff	home (private)	55.845668789	-4.2564796512	east kilbride	united kingdom	
o2 academy	music venue	55.8505956704	-4.259455204	glasgow	united kingdom	
keyline	building	55.850662	-4.25942085		united kingdom	
cathys hoose	residential building (apartment  condo)	55.8506193981	-4.2531599783		united kingdom	
city sprint glasgow	building	55.85048869	-4.25162394		united kingdom	
st lukes halls of residence	college residence hall	55.8502523772	-4.2505073547	glasgow	united kingdom	
glasgow club gorbals	gym	55.8502523772	-4.2466449738	glasgow	united kingdom	
templeton court	residential building (apartment  condo)	55.8501814047	-4.2341292368		united kingdom	
sportscotland	office	55.8506698167	-4.2337	glasgow	united kingdom	
dance hq	dance studio	55.8503335793	-4.2331861168	glasgow	united kingdom	
templeton business centre	office	55.8506467264	-4.2323219417		united kingdom	
postable limited	office	55.8502547768	-4.2327091031		united kingdom	
white studios templeton building		55.8506217089	-4.2331959281		united kingdom	
forsyth glazing	shop  service	55.8504914729	-4.2316422525	glasgow	united kingdom	
bathtube	home (private)	55.8466821201	-4.2270719512		united kingdom	
london road cafe	caf?	55.85026161	-4.23156707		united kingdom	
weavers coffee house	coffee shop	55.8501204668	-4.2311525133	glasgow	united kingdom	
silky	laundry service	55.8501808406	-4.2301875916		united kingdom	
bus stop 60901492	bus line	55.8500490073	-4.2299905844		united kingdom	
anson st bus stop	bus line	55.849822	-4.228687		united kingdom	
sandy  sandys hoose of death	home (private)	55.855733003	-4.2876870782	glasgow	united kingdom	
dreghorn photography	photography lab	55.8510925663	-4.2831556234	glasgow	united kingdom	
wonder world	general entertainment	55.8508514956	-4.2826151544	glasgow	united kingdom	
the climbing academy	rock climbing spot	55.8515555909	-4.2815492899		united kingdom	
sae college		55.851001	-4.281528	glasgow	united kingdom	
sense scotland	non-profit	55.851343	-4.277611		united kingdom	
litecraft	furniture  home store	55.8514244765	-4.2770533809	glasgow	united kingdom	
cotterells lighting centre		55.851505	-4.267815		united kingdom	
brasserie at downstairs	mediterranean restaurant	55.8508945702	-4.2639291867		united kingdom	
doogies		55.85108202	-4.2644580566		united kingdom	
pollok golf club	golf course	55.8511621506	-4.2629609129	glasgow	united kingdom	
sas workwear	mens store	55.8515332667	-4.2629287	glasgow	united kingdom	
criminal justice social work	office	55.8512343217	-4.2607189764	glasgow	united kingdom	
bridge court		55.8513013731	-4.2594996061	glasgow	united kingdom	
deals yaar	restaurant	55.8508606666	-4.2596268654	glasgow	united kingdom	
curry king	asian restaurant	55.851578	-4.258665	glasgow	united kingdom	
citizens theatre	theater	55.8507686351	-4.2533964822	glasgow	united kingdom	
bus stop 60902510	bus line	55.8510093689	-4.253247261		united kingdom	
bus stop at citizens	bus line	55.851117	-4.254087	glasgow	united kingdom	
sharkeys	bar	55.851379	-4.252295		united kingdom	
copfs	government building	55.8512161764	-4.251955609	glasgow	united kingdom	
that place frankie told a funny joke	historic site	55.851364	-4.251547	glasgow	united kingdom	
blackfriars primary school	trade school	55.851417	-4.25113		united kingdom	
premier inn	hotel	55.8508185083	-4.2498421669	glasgow	united kingdom	
premier inn city south bar  bisto	gastropub	55.850937405	-4.2499216766	glasgow	united kingdom	
benny bar )	hotel bar	55.850862	-4.249813	glasgow	united kingdom	
wards house	home (private)	55.8572624224	-4.2435447177		united kingdom	
city of glasgow college - florence st.	college academic building	55.8513725861	-4.2466557026	glasgow	united kingdom	
adelphi centre	convention center	55.8507462367	-4.2440915108	glasgow	united kingdom	
nelsons monument on glasgow green	monument  landmark	55.8514930367	-4.2407226563	glasgow	united kingdom	
peoples palace	history museum	55.851273153	-4.2373470324	glasgow	united kingdom	
winter garden at the peoples palace	garden	55.8513582685	-4.2373539807		united kingdom	
west brewery bar  restaurant	brewery	55.8509208928	-4.2339527607	glasgow	united kingdom	
philip lang cycles	bike shop	55.85090228	-4.23410712	glasgow	united kingdom	
glasgow london road  green street no 60901490	bus station	55.8513814684	-4.233271008	glasgow	united kingdom	
touchbase business centre	building	55.8517580268	-4.2832946777	glasgow	united kingdom	
the stanley bar	bar	55.852394	-4.279349	glasgow	united kingdom	
cotton print factory shop	hobby shop	55.851901	-4.279141		united kingdom	
quayside	pub	55.8523867052	-4.2774037192	glasgow	united kingdom	
kingston bridge trading estate	miscellaneous shop	55.8520977829	-4.2762231712	glasgow	united kingdom	
martin aitken	office	55.8521022	-4.27706045	glasgow	united kingdom	
la group	other nightlife	55.852468	-4.276147		united kingdom	
la bartenders	cocktail bar	55.8522905708	-4.2760946351	glasgow	united kingdom	
edmundson electric	factory	55.85223226	-4.2738737486	glasgow	united kingdom	
the pretty palace	home (private)	55.8562446748	-4.2729701742		united kingdom	
audi garage	automotive shop	55.851916	-4.269854		united kingdom	
lime light	caf?	55.8522559472	-4.2646966586		united kingdom	
limelight shisha	smoke shop	55.8523357728	-4.2650634217	glasgow	united kingdom	
osama bin laden cave	campground	55.852278	-4.262332		united kingdom	
osama bin laden cave	campground	55.852278	-4.262332		united kingdom	
mount cook cafe	caf?	55.8523597717	-4.2628722191		united kingdom	
dubia grill	restaurant	55.8517992496	-4.26168	glasgow	united kingdom	
the old hairdressers	bar	55.851732838	-4.2599971976		united kingdom	
fantoosh	hookah bar	55.8521515933	-4.2604415586		united kingdom	
inntro	bar	55.8517875	-4.2608826	glasgow	united kingdom	
bridge street subway station	subway	55.8520440937	-4.2588168383	glasgow	united kingdom	
train 2 blackpool	train	55.852344	-4.259891		united kingdom	
bus stop 60902618	bus line	55.8523027698	-4.2590990588	glasgow	united kingdom	
capital cars	taxi	55.85228	-4.25687		united kingdom	
city building skills academy		55.8518161408	-4.2561916016	glasgow	united kingdom	
casa kelly	home (private)	55.8567544809	-4.2582560533	glasgow	united kingdom	
route 66 glasgow to east kilbride	bus line	55.852397	-4.252303		united kingdom	
glasgow central mosque	mosque	55.8519748356	-4.251408577	glasgow	united kingdom	
victoria bar	dive bar	55.8517094398	-4.2497670944	glasgow	united kingdom	
al dente	italian restaurant	55.8524184644	-4.250392611		united kingdom	
halls of residence	college residence hall	55.852096	-4.249857	glasgow	united kingdom	
city of glasgow college - riverside	college academic building	55.8519131074	-4.2488064034	glasgow	united kingdom	
glasgow life (adelphi)	coworking space	55.8515944098	-4.2471395482	glasgow	united kingdom	
the flat	home (private)	55.8572624224	-4.2435447177	glasgow	united kingdom	
clyde arc	bridge	55.8519296672	-4.2440325022	glasgow	united kingdom	
bank of scotland	bank	55.8520610012	-4.2445083598	glasgow	united kingdom	
moffat st care home	home (private)	55.8572624224	-4.2435447177		united kingdom	
the world bagpipe championships	music venue	55.8524	-4.2416	glasgow	united kingdom	
glasgow green	park	55.8519507458	-4.2411088943	glasgow	united kingdom	
great scottish run finish	event space	55.8517961842	-4.239714917		united kingdom	
the doulton fountain	sculpture garden	55.851625532	-4.2362809181	glasgow	united kingdom	
inspire studios	general entertainment	55.8515915281	-4.2361733297		united kingdom	
glasgow bike shed	bike shop	55.852108	-4.235927		united kingdom	
the calton bar	bar	55.85177	-4.2342	glasgow	united kingdom	
pauls	home (private)	55.8577685002	-4.2288361699		united kingdom	
mcgills 38	moving target	55.852801	-4.285104		united kingdom	
casa del cam and kev	home (private)	55.855733003	-4.2876870782	glasgow	united kingdom	
home sweet home	home (private)	55.855733003	-4.2876870782		united kingdom	
casa del cam  shadow	home (private)	55.855733003	-4.2876870782	glasgow	united kingdom	
casa del cam  shadow	home (private)	55.855733003	-4.2876870782	glasgow	united kingdom	
city gym	gym	55.8530537293	-4.283455413	glasgow	united kingdom	
firstglasgow no 56	bus line	55.852905143	-4.284249928	glasgow	united kingdom	
ka faraq gatris home	home (private)	55.855733003	-4.2876870782	glasgow	united kingdom	
portman motors	automotive shop	55.8529129028	-4.282087326		united kingdom	
panda hut	chinese restaurant	55.8533238406	-4.2812132835	glasgow	united kingdom	
mr clutch glasgow	automotive shop	55.852634	-4.281671	glasgow	united kingdom	
aquatron	sporting goods shop	55.8527165651	-4.2802584171	glasgow	united kingdom	
arran surgery	medical center	55.8529424328	-4.2798916304	glasgow	united kingdom	
ailsa surgery	medical center	55.852501	-4.278691	glasgow	united kingdom	
morplan	miscellaneous shop	55.8526553663	-4.2786169052	glasgow	united kingdom	
coral reef	pet store	55.8529107893	-4.278251019		united kingdom	
kabana	indian restaurant	55.8529113601	-4.2772623639	glasgow	united kingdom	
flowerscene	flower shop	55.8524996256	-4.2772842706	glasgow	united kingdom	
dulux decorator centre	hardware store	55.853204	-4.275543		united kingdom	
toolstation	hardware store	55.8531949025	-4.2756801273		united kingdom	
city electric factors	factory	55.8531851885	-4.2759725488		united kingdom	
edmunsons		55.8530891	-4.2740087		united kingdom	
hirestation		55.85331	-4.274273		united kingdom	
screwfix direct	hardware store	55.8530949948	-4.2738103867	glasgow	united kingdom	
electricfix	miscellaneous shop	55.853101	-4.27303	glasgow	united kingdom	
travelodge	hotel	55.85295046	-4.272415638	glasgow	united kingdom	
travelodge glasgow paisley road	hotel	55.852614	-4.272028		united kingdom	
aileymill primary school	school	55.8528862	-4.272228241		united kingdom	
all saints primary school	school	55.8528862	-4.272228241		united kingdom	
my amazeballs home	home (private)	55.8562446748	-4.2729701742	glasgow	united kingdom	
422.tv post production	building	55.8531973734	-4.2689287663		united kingdom	
clarence house  the prism	residential building (apartment  condo)	55.853002	-4.269048		united kingdom	
the co-op building	building	55.8531154194	-4.268952246	glasgow	united kingdom	
the co-operative funeralcare	funeral home	55.853376	-4.268807		united kingdom	
house of sher		55.853386	-4.268796		united kingdom	
wallace street	road	55.852721612	-4.2675018311	glasgow	united kingdom	
the kingston quay courtyard	garden	55.853055	-4.267303		united kingdom	
house of lads	residential building (apartment  condo)	55.8530094379	-4.2678686307		united kingdom	
nearox hq	gay bar	55.8527786361	-4.2670442695	glasgow	united kingdom	
the house that jack built	home (private)	55.8562446748	-4.2729701742	glasgow	united kingdom	
western saab	gas station  garage	55.852728	-4.26579	glasgow	united kingdom	
kingston quay	home (private)	55.8562446748	-4.2729701742	glasgow	united kingdom	
wood and ewing	home (private)	55.8562446748	-4.2729701742	glasgow	united kingdom	
strands	salon  barbershop	55.8528366851	-4.2658445318		united kingdom	
homes	brewery	55.8531455994	-4.2668933868		united kingdom	
the health suite	gym  fitness center	55.853131	-4.266762	glasgow	united kingdom	
beer garden	beer garden	55.8528238677	-4.2659002633		united kingdom	
